Date,Demand,Hour,Weekday,Price
2018-07-16,154.56,5,Weekday,22.13
2018-07-16,161.28,6,Weekday,23.58
2018-07-16,251.52,7,Weekday,25.9
2018-07-16,491.52,8,Weekday,29.06
2018-07-16,862.08,9,Weekday,39.1
2018-07-16,1205.76,10,Weekday,42.29
2018-07-16,1238.4,11,Weekday,36.11
2018-07-16,1152.96,12,Weekday,60.96
2018-07-16,1112.64,13,Weekday,42.52
2018-07-16,1144.32,14,Weekday,68.49
2018-07-16,1106.88,15,Weekday,44.16
2018-07-16,1105.92,16,Weekday,46.23
2018-07-16,1120.32,17,Weekday,41.59
2018-07-16,954.24,18,Weekday,42.82
2018-07-16,658.56,19,Weekday,39.03
2018-07-16,477.12,20,Weekday,34.58
2018-07-16,339.84,21,Weekday,34.78
2018-07-16,276.48,22,Weekday,33.29
2018-07-16,227.52,23,Weekday,30.53
2018-07-17,198.72,0,Weekday,24.6
2018-07-17,196.8,1,Weekday,24.05
2018-07-17,176.64,2,Weekday,22.33
2018-07-17,181.44,3,Weekday,20.97
2018-07-17,172.8,4,Weekday,21.27
2018-07-17,177.6,5,Weekday,24.25
2018-07-17,170.88,6,Weekday,25.04
2018-07-17,236.16,7,Weekday,27.62
2018-07-17,451.2,8,Weekday,29.61
2018-07-17,800.64,9,Weekday,34.28
2018-07-17,1121.28,10,Weekday,46.91
2018-07-17,1149.12,11,Weekday,35.67
2018-07-17,996.48,12,Weekday,44.82
2018-07-17,1029.12,13,Weekday,38.42
2018-07-17,1110.72,14,Weekday,31.86
2018-07-17,1077.12,15,Weekday,32.7
2018-07-17,1062.72,16,Weekday,49.7
2018-07-17,1062.72,17,Weekday,57.2
2018-07-17,921.6,18,Weekday,55.68
2018-07-17,672,19,Weekday,30.8
2018-07-17,476.16,20,Weekday,29.48
2018-07-17,325.44,21,Weekday,29.28
2018-07-17,281.28,22,Weekday,24.08
2018-07-17,240,23,Weekday,21.91
2018-07-18,206.4,0,Weekday,21.35
2018-07-18,195.84,1,Weekday,20.72
2018-07-18,188.16,2,Weekday,19.1
2018-07-18,184.32,3,Weekday,18.35
2018-07-18,186.24,4,Weekday,18.37
2018-07-18,180.48,5,Weekday,19.67
2018-07-18,180.48,6,Weekday,20.48
2018-07-18,223.68,7,Weekday,21.56
2018-07-18,441.6,8,Weekday,22.09
2018-07-18,782.4,9,Weekday,25.21
2018-07-18,1094.4,10,Weekday,27.56
2018-07-18,1130.88,11,Weekday,34.65
2018-07-18,1047.36,12,Weekday,26.67
2018-07-18,1033.92,13,Weekday,27.14
2018-07-18,1065.6,14,Weekday,31.14
2018-07-18,1067.52,15,Weekday,35.01
2018-07-18,1057.92,16,Weekday,42.41
2018-07-18,1054.08,17,Weekday,42.31
2018-07-18,907.2,18,Weekday,37.96
2018-07-18,660.48,19,Weekday,45.73
2018-07-18,500.16,20,Weekday,33.45
2018-07-18,347.52,21,Weekday,33.38
2018-07-18,274.56,22,Weekday,23.48
2018-07-18,259.2,23,Weekday,22.19
2018-07-19,199.68,0,Weekday,20.05
2018-07-19,192.96,1,Weekday,19.46
2018-07-19,181.44,2,Weekday,19.28
2018-07-19,180.48,3,Weekday,18.6
2018-07-19,174.72,4,Weekday,18.66
2018-07-19,177.6,5,Weekday,21.14
2018-07-19,174.72,6,Weekday,22.04
2018-07-19,250.56,7,Weekday,23.28
2018-07-19,450.24,8,Weekday,23.59
2018-07-19,755.52,9,Weekday,27.07
2018-07-19,1090.56,10,Weekday,28.28
2018-07-19,1083.84,11,Weekday,28.05
2018-07-19,1048.32,12,Weekday,30.34
2018-07-19,988.8,13,Weekday,28.86
2018-07-19,1065.6,14,Weekday,44.02
2018-07-19,1071.36,15,Weekday,71.61
2018-07-19,1072.32,16,Weekday,32.97
2018-07-19,1038.72,17,Weekday,43.03
2018-07-19,907.2,18,Weekday,36.45
2018-07-19,613.44,19,Weekday,32.45
2018-07-19,458.88,20,Weekday,39.45
2018-07-19,398.4,21,Weekday,40.22
2018-07-19,318.72,22,Weekday,33.03
2018-07-19,253.44,23,Weekday,23.42
2018-07-20,238.08,0,Weekday,20.66
2018-07-20,230.4,1,Weekday,20.57
2018-07-20,207.36,2,Weekday,19.18
2018-07-20,186.24,3,Weekday,18.52
2018-07-20,182.4,4,Weekday,18.86
2018-07-20,182.4,5,Weekday,20.28
2018-07-20,187.2,6,Weekday,23.1
2018-07-20,239.04,7,Weekday,25.51
2018-07-20,456.96,8,Weekday,27.77
2018-07-20,745.92,9,Weekday,42.93
2018-07-20,1060.8,10,Weekday,25.91
2018-07-20,1120.32,11,Weekday,31.96
2018-07-20,1066.56,12,Weekday,27.04
2018-07-20,1065.6,13,Weekday,30.02
2018-07-20,1070.4,14,Weekday,32.58
2018-07-20,1091.52,15,Weekday,29.37
2018-07-20,1086.72,16,Weekday,29.45
2018-07-20,1023.36,17,Weekday,29.01
2018-07-20,884.16,18,Weekday,26.9
2018-07-20,596.16,19,Weekday,24.15
2018-07-20,445.44,20,Weekday,24.7
2018-07-20,327.36,21,Weekday,25.05
2018-07-20,278.4,22,Weekday,22.3
2018-07-20,273.6,23,Weekday,21.06
2018-07-21,217.92,0,Weekend,21.88
2018-07-21,198.72,1,Weekend,20.41
2018-07-21,192.96,2,Weekend,19.46
2018-07-21,191.04,3,Weekend,18.35
2018-07-21,181.44,4,Weekend,18.31
2018-07-21,176.64,5,Weekend,18.94
2018-07-21,179.52,6,Weekend,18.69
2018-07-21,207.36,7,Weekend,20.39
2018-07-21,241.92,8,Weekend,21.63
2018-07-21,275.52,9,Weekend,25.75
2018-07-21,328.32,10,Weekend,22.98
2018-07-21,416.64,11,Weekend,25.41
2018-07-21,398.4,12,Weekend,24.36
2018-07-21,413.76,13,Weekend,21.88
2018-07-21,428.16,14,Weekend,21.98
2018-07-21,399.36,15,Weekend,23.17
2018-07-21,381.12,16,Weekend,22.95
2018-07-21,368.64,17,Weekend,27.06
2018-07-21,346.56,18,Weekend,31.04
2018-07-21,300.48,19,Weekend,23.45
2018-07-21,271.68,20,Weekend,24.26
2018-07-21,260.16,21,Weekend,23.18
2018-07-21,245.76,22,Weekend,20.24
2018-07-21,216.96,23,Weekend,18.84
2018-07-22,185.28,0,Weekend,19.22
2018-07-22,173.76,1,Weekend,19.54
2018-07-22,170.88,2,Weekend,18.59
2018-07-22,169.92,3,Weekend,18.25
2018-07-22,167.04,4,Weekend,17.93
2018-07-22,166.08,5,Weekend,18.05
2018-07-22,164.16,6,Weekend,18.09
2018-07-22,157.44,7,Weekend,17.33
2018-07-22,162.24,8,Weekend,18.62
2018-07-22,195.84,9,Weekend,19.44
2018-07-22,213.12,10,Weekend,19.83
2018-07-22,236.16,11,Weekend,21.61
2018-07-22,238.08,12,Weekend,26.2
2018-07-22,249.6,13,Weekend,26.43
2018-07-22,299.52,14,Weekend,27.25
2018-07-22,302.4,15,Weekend,28.45
2018-07-22,321.6,16,Weekend,37.78
2018-07-22,318.72,17,Weekend,38.03
2018-07-22,300.48,18,Weekend,36.93
2018-07-22,276.48,19,Weekend,25.6
2018-07-22,250.56,20,Weekend,33.66
2018-07-22,216,21,Weekend,36.56
2018-07-22,221.76,22,Weekend,22.97
2018-07-22,206.4,23,Weekend,22.75
2018-07-23,203.52,0,Weekday,19.84
2018-07-23,194.88,1,Weekday,19.99
2018-07-23,183.36,2,Weekday,19.37
2018-07-23,185.28,3,Weekday,19.35
2018-07-23,178.56,4,Weekday,19.62
2018-07-23,179.52,5,Weekday,20.56
2018-07-23,189.12,6,Weekday,24.01
2018-07-23,294.72,7,Weekday,22.55
2018-07-23,546.24,8,Weekday,33.68
2018-07-23,930.24,9,Weekday,58.8
2018-07-23,1336.32,10,Weekday,86.11
2018-07-23,1358.4,11,Weekday,34.94
2018-07-23,1341.12,12,Weekday,30.51
2018-07-23,1284.48,13,Weekday,40.85
2018-07-23,1422.72,14,Weekday,40.95
2018-07-23,1403.52,15,Weekday,93.73
2018-07-23,1411.2,16,Weekday,39.58
2018-07-23,1320,17,Weekday,35.58
