Year,Month,Day,Hour,Demand,Price,Weekday
2017,7,19,21,1397.89493337094,70.19,1
2017,7,19,22,1499.93087600053,34.32,1
2017,7,19,23,1486.26119536469,29.75,1
2017,7,20,0,1402.0344207467,26.75,1
2017,7,20,1,1286.6874736918,22.83,1
2017,7,20,2,1219.9214655676,22.160001,1
2017,7,20,3,1029.5456791892998,21.179999,1
2017,7,20,4,812.9138754047,21.0,1
2017,7,20,5,641.7500333609701,22.89,1
2017,7,20,6,548.3154001640602,24.8,1
2017,7,20,7,455.72310023514007,28.59,1
2017,7,20,8,375.32041841663,32.58,1
2017,7,20,9,339.50431239014,33.91,1
2017,7,20,10,332.87007042270005,41.48,1
2017,7,20,11,359.46565338024004,36.99,1
2017,7,20,12,413.19227241081,60.57,1
2017,7,20,13,405.47441528837993,67.81,1
2017,7,20,14,498.4942196716,64.57,1
2017,7,20,15,632.9700640547301,53.7,1
2017,7,20,16,705.5107823326299,72.6,1
2017,7,20,17,870.33928240173,86.06,1
2017,7,20,18,1012.69134131293,78.219999,1
2017,7,20,19,1076.71035509283,40.51,1
2017,7,20,20,1180.7917162656302,39.260001,1
2017,7,20,21,1300.48930835014,41.29,1
2017,7,20,22,1341.2185015039302,33.76,1
2017,7,20,23,1196.02947536029,30.08,1
2017,7,21,0,1027.1412014795,25.91,1
2017,7,21,1,948.8541916304,24.47,1
2017,7,21,2,876.1600233951999,22.89,1
2017,7,21,3,659.5152972216999,21.94,1
2017,7,21,4,454.6820861117,21.650001,1
2017,7,21,5,269.26696457499,23.55,1
2017,7,21,6,179.40365905066,24.73,1
2017,7,21,7,119.25150812544,27.54,1
2017,7,21,8,116.39299420263,30.040001,1
2017,7,21,9,115.87058683134,29.86,1
2017,7,21,10,127.965818805,34.24,1
2017,7,21,11,167.93027930964,34.44,1
2017,7,21,12,227.15817477031,35.5,1
2017,7,21,13,206.96204473597996,51.87,1
2017,7,21,14,179.8540611447,41.45,1
2017,7,21,15,240.79153177981004,48.81,1
2017,7,21,16,351.66594830083,51.440001,1
2017,7,21,17,509.70140388713,67.08,1
2017,7,21,18,632.05967450233,68.6,1
